store,sku,amount
Utica,DM1759,84.16 CAD
Albany,DM1786,91.34 AUD
Albany,DM1724,27.19 USD
Albany,DM1537,15.90 USD
Akron,DM1537,44.82 AUD
Buffalo,DM1230,35.65 CAD
Yonkers,DM1230,66.19 AUD
Camden,DM1210,49.01 EUR
Akron,DM1786,50.13 EUR
Buffalo,DM1873,24.35 USD
Utica,DM1230,28.30 USD
Yonkers,DM1210,25.04 AUD
Akron,DM1724,71.38 EUR
Nashua,DM1182,26.13 CAD
Nashua,DM1537,59.95 AUD
Buffalo,DM1724,65.46 CAD
Nashua,DM1724,38.09 AUD
Camden,DM1537,16.42 CAD
Camden,DM1724,44.65 EUR
Camden,DM1537,74.98 CAD
Scranton,DM1182,89.46 CAD
Buffalo,DM1182,29.72 EUR
Scranton,DM1541,15.68 AUD
Utica,DM1230,11.42 EUR
Albany,DM1210,44.37 EUR
Nashua,DM1541,95.26 EUR
Scranton,DM1873,94.18 EUR
Buffalo,DM1182,71.62 EUR
Utica,DM1294,68.51 AUD
Utica,DM1182,47.08 USD
Utica,DM1541,40.13 USD
Nashua,DM1210,97.48 CAD
Scranton,DM1210,19.91 CAD
Utica,DM1873,26.06 EUR
Buffalo,DM1537,22.50 EUR
Akron,DM1786,48.82 EUR
Scranton,DM1541,63.41 CAD
Utica,DM1537,43.24 USD
Albany,DM1294,82.86 CAD
Albany,DM1724,66.22 USD
Nashua,DM1759,93.91 EUR
Camden,DM1210,11.27 AUD
Akron,DM1759,57.27 CAD
Albany,DM1294,84.58 CAD
Scranton,DM1182,48.04 CAD
Buffalo,DM1210,93.11 AUD
Buffalo,DM1786,82.67 CAD
Scranton,DM1873,90.89 AUD
Buffalo,DM1230,96.73 USD
Yonkers,DM1541,17.83 AUD
Albany,DM1537,37.49 USD
Buffalo,DM1759,51.73 CAD
Utica,DM1210,21.51 AUD
Camden,DM1786,35.80 EUR
Nashua,DM1759,94.37 AUD
Utica,DM1759,30.13 AUD
Nashua,DM1724,17.42 AUD
Yonkers,DM1294,61.78 EUR
Camden,DM1210,63.10 USD
Camden,DM1724,66.23 CAD
Albany,DM1759,81.42 USD
Scranton,DM1294,68.06 CAD
Buffalo,DM1873,13.25 EUR
Albany,DM1759,89.44 AUD
Scranton,DM1210,33.25 CAD
Akron,DM1210,95.11 AUD
Nashua,DM1294,18.05 AUD
Nashua,DM1537,93.28 AUD
Scranton,DM1210,71.16 CAD
Scranton,DM1294,30.61 CAD
Yonkers,DM1230,66.34 USD
Utica,DM1294,97.90 EUR
Yonkers,DM1294,13.92 EUR
Albany,DM1182,86.89 EUR
Yonkers,DM1537,55.61 EUR
Nashua,DM1786,39.10 CAD
Camden,DM1182,21.40 USD
Nashua,DM1294,17.48 CAD
Buffalo,DM1541,21.04 AUD
Nashua,DM1210,65.31 AUD
Akron,DM1541,69.64 EUR
Utica,DM1230,35.24 CAD
Scranton,DM1759,34.12 AUD
Akron,DM1873,52.91 AUD
Utica,DM1537,99.02 USD
Yonkers,DM1541,41.07 EUR
Scranton,DM1537,30.85 AUD
Utica,DM1182,85.05 USD
Nashua,DM1873,46.57 AUD
Nashua,DM1210,23.27 CAD
Utica,DM1759,18.25 AUD
Albany,DM1759,93.13 USD
Scranton,DM1182,32.22 CAD
Albany,DM1724,65.20 AUD
Albany,DM1210,22.80 EUR
Albany,DM1294,32.97 AUD
Utica,DM1759,46.51 AUD
Scranton,DM1786,14.22 AUD
Akron,DM1182,32.07 EUR
Nashua,DM1537,27.90 AUD
Nashua,DM1210,83.18 EUR
Akron,DM1786,97.10 AUD
Scranton,DM1210,38.03 CAD
Nashua,DM1724,37.10 EUR
Nashua,DM1759,17.98 EUR
Scranton,DM1182,39.11 AUD
Albany,DM1230,19.38 CAD
Akron,DM1182,53.05 USD
Buffalo,DM1537,24.77 EUR
Yonkers,DM1182,23.36 CAD
Camden,DM1230,96.70 EUR
Albany,DM1230,19.24 AUD
Utica,DM1786,35.82 EUR
Buffalo,DM1759,28.61 AUD
Yonkers,DM1724,22.67 EUR
Yonkers,DM1230,21.57 CAD
Yonkers,DM1230,85.44 EUR
Buffalo,DM1759,85.21 USD
Yonkers,DM1786,47.90 CAD
Akron,DM1786,39.33 USD
Camden,DM1786,58.54 CAD
Buffalo,DM1182,92.00 AUD
Scranton,DM1541,84.04 EUR
Buffalo,DM1210,62.57 USD
Yonkers,DM1873,80.77 USD
Scranton,DM1537,85.73 USD
Albany,DM1230,60.93 AUD
Buffalo,DM1786,24.82 EUR
Akron,DM1182,46.33 USD
Akron,DM1873,13.31 CAD
Yonkers,DM1537,24.26 CAD
Akron,DM1759,10.70 CAD
Scranton,DM1294,60.89 EUR
Scranton,DM1230,17.20 AUD
Akron,DM1537,14.71 AUD
Camden,DM1230,46.53 EUR
Yonkers,DM1873,86.97 AUD
Buffalo,DM1873,44.33 USD
Albany,DM1759,16.48 USD
Yonkers,DM1724,68.71 USD
Buffalo,DM1294,91.28 EUR
Albany,DM1873,76.22 USD
Akron,DM1724,70.44 USD
Utica,DM1210,11.51 EUR
Scranton,DM1786,43.32 AUD
Albany,DM1541,40.94 USD
Yonkers,DM1759,50.28 USD
Camden,DM1182,23.06 AUD
Utica,DM1873,65.51 USD
Akron,DM1786,77.60 USD
Nashua,DM1873,91.93 CAD
Scranton,DM1210,82.71 USD
Buffalo,DM1541,16.39 USD
Albany,DM1873,32.49 USD
Scranton,DM1873,75.32 USD
Akron,DM1724,39.96 USD
Buffalo,DM1873,50.38 AUD
Nashua,DM1182,87.71 USD
Camden,DM1537,15.76 AUD
Utica,DM1759,59.44 USD
Utica,DM1724,42.66 CAD
Utica,DM1182,83.86 AUD
Akron,DM1182,22.88 EUR
Utica,DM1230,71.33 USD
Akron,DM1541,83.65 CAD
Akron,DM1759,66.61 USD
Scranton,DM1210,38.36 AUD
Nashua,DM1759,23.45 AUD
Buffalo,DM1210,65.47 AUD
Scranton,DM1182,20.62 AUD
Albany,DM1873,83.54 AUD
Yonkers,DM1873,75.88 EUR
Akron,DM1210,31.02 AUD
Scranton,DM1759,80.11 AUD
Akron,DM1294,62.75 USD
Buffalo,DM1873,46.41 CAD
Yonkers,DM1759,92.63 CAD
Utica,DM1210,39.04 EUR
Buffalo,DM1537,38.01 CAD
Yonkers,DM1759,11.53 CAD
Akron,DM1210,42.74 CAD
Nashua,DM1786,70.84 USD
Yonkers,DM1537,56.93 USD
Nashua,DM1541,52.23 CAD
Utica,DM1294,96.63 USD
Scranton,DM1210,55.78 USD
Akron,DM1759,66.06 EUR
Scranton,DM1537,61.45 EUR
Yonkers,DM1724,66.49 USD
Yonkers,DM1182,40.93 AUD
Scranton,DM1537,82.52 USD
Albany,DM1182,63.92 USD
